Customer id,Total chats,Total calls,Total Mails,Avg Chat Rating,Avg Call Rating,Avg Mail Rating,Call support,Total escallation,IM / VM,ALR
74417,441,209,13,1.94,2.36,2.49,1,41,88,1
74570,249,249,13,3.28,4.98,1.05,1,33,18,1
73280,405,219,14,2.45,4.44,1.12,0,16,79,0
73513,169,198,14,2.16,4.55,2.54,0,7,61,0
70155,353,159,14,1.05,2.03,2.27,0,47,45,1
72103,185,194,14,1.73,4.1,2.11,0,42,31,1
72357,65,211,14,3.52,1.42,2.96,0,19,16,1
72365,44,11,14,4.75,3.05,1.93,1,50,95,1
72519,482,69,14,3.56,2.75,1.52,1,4,27,1
74096,456,224,14,3.97,4.01,1.29,1,10,79,1
74915,314,126,14,2.31,4.72,4.18,0,23,4,1
72070,17,179,15,2.54,4.56,1.53,0,1,86,0
72143,121,37,15,2.11,1.97,1.85,0,44,50,0
72604,495,286,15,1.12,2.07,5,0,19,80,0
72854,42,272,15,1.01,4.3,2.74,1,26,74,0
74035,275,100,15,3.68,3.75,3.45,1,38,18,0
74160,305,72,15,1.68,1.83,1.93,1,12,28,0
70090,243,268,15,2.5,4.57,2.19,1,36,94,1
71419,183,290,15,1.3,2.43,3.27,1,4,65,1
71744,185,279,15,3.29,2.04,1.58,1,8,43,1
73106,18,251,15,2.06,1.02,2.86,0,32,71,1
73318,245,198,15,1.82,4.94,2.22,0,28,88,1
73685,282,204,15,2.18,1.78,2.28,1,43,39,1
73920,353,141,15,4.78,2.79,2.02,0,32,24,1
74456,411,196,15,3.31,2.28,3.03,1,32,36,1
70829,98,57,16,1.69,4.1,2.03,1,23,7,1
72282,500,78,16,4.43,1.24,4.61,0,1,36,0
73072,258,200,16,1.25,4.65,3.9,0,39,70,0
73769,302,80,16,2.92,3.58,4.76,0,33,78,0
70112,313,213,16,3.93,4.66,4.66,1,32,98,1
71026,279,176,16,2.54,4.15,4.86,0,15,59,1
71485,374,246,16,1.23,1.66,1.94,1,34,58,1
73511,255,223,16,4.01,3.67,4.25,1,44,75,1
73631,337,243,16,1.66,2.4,2.47,1,7,63,1
73845,420,213,16,1.63,2.1,2.39,1,10,32,1
70271,323,125,17,2.81,4.98,3.24,0,37,67,1
71732,250,74,17,2.28,1.94,2.72,1,26,42,0
71984,454,271,17,1.68,4.56,1.62,0,48,77,0
72156,465,43,17,4.76,3.63,1.16,0,6,87,0
72646,234,11,17,4.86,2.74,3.98,0,24,7,0
74761,141,176,17,4.95,2.44,1.72,0,31,13,0
70374,430,160,17,1.47,3.13,4.02,1,22,73,1
70411,344,33,17,1.88,4.58,3.64,0,22,100,1
73873,177,68,17,1.38,3,4.9,1,36,35,1
74257,321,108,17,2.57,4.16,4.11,1,45,40,1
74396,136,249,17,1.84,4.34,1.63,0,42,72,1
74638,423,133,17,3.58,1.95,2.82,0,37,93,1
70328,38,167,18,1.85,2.58,3.44,0,11,93,1
70897,14,46,18,1.7,3.11,3.93,1,24,84,1
70934,259,115,18,1.25,2.43,1.36,1,27,26,1
71020,308,90,18,3.19,3.18,4.15,1,14,29,1
72544,490,289,18,1.8,2.01,2.04,1,10,85,0
74080,365,8,18,4.64,3.36,3.9,1,17,84,0
70149,27,157,18,2.44,2.82,3.51,1,6,36,1
70968,334,115,18,3.85,2.92,3.68,1,24,12,1
72291,482,239,18,1.25,1.97,1.25,0,7,63,1
73698,312,222,18,3.7,3.39,4.34,0,49,18,1
70556,247,267,19,3.28,1.84,3.21,1,12,61,1
71467,285,80,19,1.78,3.91,3.66,1,15,24,0
72123,402,73,19,1.63,1.08,1.45,0,33,69,0
72822,183,19,19,4.61,4.27,2.83,0,29,93,0
73900,140,28,19,3.88,2.28,1.93,0,37,41,0
74006,427,92,19,1.3,4.69,1.6,1,25,65,0
71213,426,203,19,4.31,1.72,1.56,1,25,100,1
71952,157,143,19,1.31,3.27,4,1,15,20,1
72274,324,115,19,2.42,1.57,4.24,1,26,34,1
74650,173,127,19,1.76,3.8,3.73,1,12,51,1
70104,371,68,20,4.67,3.28,3.66,1,28,16,1
70685,45,280,20,2.04,3.53,4.44,1,30,33,1
74594,161,162,20,1.61,3.63,2.96,1,37,53,0
70640,447,58,20,2.13,1.45,4.95,0,5,49,1
71370,66,67,20,4.61,1.29,4.79,1,37,68,1
72633,209,34,20,4.35,1.33,1.04,1,46,7,1
73681,218,150,20,1.85,4.37,4.28,0,44,14,1
74567,254,264,20,4.69,4.75,4.16,1,37,68,1
70188,82,110,21,2.54,3.97,3.31,1,31,3,1
70426,467,242,21,4.31,2.87,3.36,1,43,49,1
70768,454,263,21,1.47,1.02,2.87,1,44,66,1
71259,443,6,21,4.6,3.17,4.95,0,42,27,1
73780,259,10,21,1.76,4.61,2.86,1,7,63,1
73970,335,238,21,1.43,4.04,1.82,1,16,14,1
73994,57,33,21,2.21,3.14,2.72,1,23,50,1
74412,133,171,21,3.3,4.56,4.73,0,6,53,1
72184,279,10,22,3.67,4.79,2.04,0,31,51,0
73582,182,280,22,3.93,4.45,1.87,1,18,68,0
72275,118,65,22,4.45,2.61,2.83,1,8,78,1
70651,314,201,23,2.55,4.46,4.44,0,3,31,1
71604,495,284,23,1.9,2.11,1.04,0,8,53,0
72647,265,196,23,2.46,4.52,2.14,1,26,39,0
74750,471,184,23,1.76,1.84,1.81,0,19,73,0
71173,487,158,23,1.79,3.1,4.7,1,9,24,1
71256,251,127,23,3.89,2.51,1.25,0,0,95,1
71912,29,272,23,1.26,4.15,2.27,0,31,32,1
73529,248,268,23,4.97,1.7,4.27,1,26,100,1
74112,340,167,23,3.99,1.52,4.22,0,43,92,1
70229,496,244,24,3.72,4.56,2.78,0,32,74,1
70561,169,147,24,2.35,1.61,2.48,0,10,40,1
71025,82,82,24,1.44,2.87,3.24,1,41,69,1
71545,95,114,24,2.82,1.05,3.49,1,5,72,0
71850,265,102,24,2.34,3.95,1.5,0,30,73,0
72102,73,224,24,1.69,4.12,3.25,1,22,22,0
72175,113,139,24,3.95,1.35,1.81,1,12,94,0
72319,166,291,24,3.81,3.91,2.66,1,11,46,0
73971,346,253,24,1.51,4.27,3.14,1,5,71,0
74846,497,135,24,1.25,3.68,4.43,1,45,33,0
70113,129,112,24,4.21,1.86,1.39,0,49,70,1
70330,451,93,24,2.93,2.35,2.27,1,31,20,1
71323,344,243,24,2.53,3.08,3.82,1,4,39,1
72031,342,215,24,4.55,2.79,2.71,1,3,23,1
72447,334,192,24,1.38,3.86,2.27,0,26,86,1
72509,419,86,24,4.02,3.87,1.44,0,8,21,1
73394,372,210,24,2.06,4.58,3.07,0,19,32,1
73429,396,130,24,1.3,1.29,3.51,0,11,53,1
73986,35,285,24,3.74,4.34,1.47,1,22,39,1
71054,216,60,25,1.61,1.56,1.61,0,32,99,0
73331,381,273,25,3.76,4.37,3.98,0,16,61,0
71053,186,124,25,2.96,1.94,4.71,0,23,98,1
72641,107,221,25,2.6,4.54,2.58,1,48,24,1
72888,413,89,26,2.79,4.09,3.96,1,21,4,0
70384,398,33,26,3.35,4.79,2.54,1,36,66,1
71115,143,90,26,1.46,4.6,3.98,1,10,24,1
71428,196,20,26,4.63,2.1,1.52,1,19,61,1
72577,121,111,26,1.12,4.31,4.68,0,22,52,1
72812,68,95,26,2.72,2.93,4.69,0,14,53,1
72960,242,154,26,1.45,4.51,4.84,1,2,72,1
73160,435,296,26,3.65,3.42,4.75,0,27,82,1
74280,152,237,26,1.01,4.33,1.53,1,7,14,1
74611,244,127,26,2.91,3.19,4.44,0,4,30,1
70338,237,81,27,2.78,1.27,2.52,0,47,82,1
70800,131,73,27,2.73,2.98,4.2,0,1,11,1
71003,412,101,27,3.03,4.77,2.76,1,32,74,1
71375,376,239,27,2.31,2.89,3.73,1,29,58,0
70171,103,61,27,2.18,3.52,3.55,1,39,13,1
71144,363,256,27,1.79,4.7,2.63,0,13,3,1
71195,105,147,27,4.05,3.21,1.67,1,21,22,1
71702,22,154,27,1,3.25,4.2,1,45,47,1
72753,473,222,27,2.43,4.9,1.75,0,48,5,1
71264,402,25,28,4.83,2.51,4.67,0,33,27,0
74769,107,47,28,4.69,2.9,1.39,1,50,59,0
74875,276,49,28,1.76,1.76,1.51,1,36,89,0
71332,174,299,28,4.5,2.86,3.2,0,47,1,1
72820,460,193,28,2.85,3.24,4.66,0,48,99,1
71599,66,28,29,1.85,4.4,1.46,1,49,38,0
72856,256,127,29,1.64,4.7,4.77,1,38,93,0
71334,223,146,29,1.45,4.21,4.17,0,10,2,1
72831,436,217,29,3.75,1.29,3.12,1,39,52,1
73162,481,8,29,3.17,1.64,4.14,1,45,19,1
70574,491,263,30,3.94,2.26,2.39,1,35,56,1
70595,290,136,30,3.01,3.61,1.39,0,31,2,1
71190,121,211,30,1.58,2.16,2.75,1,24,70,0
72552,493,237,30,4.25,1.68,4.9,0,17,35,0
72792,54,144,30,3.75,1.42,3.99,1,5,9,0
73716,133,156,30,4.37,4.18,3.28,1,32,90,0
70278,343,185,30,3.89,4.89,4.26,0,41,28,1
70456,64,57,30,4,4.7,3.27,0,34,29,1
70703,101,296,30,3.54,3.73,1.59,1,8,82,1
71130,74,263,30,3.52,3.41,1.22,0,28,27,1
72585,143,158,30,1.59,3.09,3.57,0,20,2,1
73112,243,43,30,4.67,4.69,2.05,1,41,13,1
73774,442,68,30,4.68,2.02,1.27,1,1,56,1
74012,290,296,30,2.78,3.96,2.86,0,30,56,1
70150,261,229,31,2.22,4.94,4.79,1,36,2,1
71402,10,161,31,4.92,3.81,4.04,1,19,29,0
71637,419,289,31,4.25,4.89,4.85,0,16,49,0
74634,257,23,31,3.89,4.29,2.62,0,7,92,0
74954,305,242,31,2.87,1.28,3.81,1,6,55,1
72068,136,283,32,2.36,2.86,4.2,0,36,97,0
72479,93,194,32,4.11,2.96,1.5,0,40,25,0
72757,245,27,32,2.73,4.01,3.02,0,40,76,0
73092,73,142,32,4.59,1.71,4.09,1,45,63,0
74170,203,17,32,3.63,4.11,3.75,0,37,86,0
74283,96,122,32,4.11,1.21,2.71,1,2,52,0
70346,323,239,32,4.1,4.64,1.03,0,35,10,1
72368,327,215,32,4.47,4.2,3.48,1,25,2,1
73771,393,147,33,1.53,4.97,2.81,0,30,8,0
74169,274,204,33,4.4,4.21,4.95,1,30,2,0
74188,166,272,33,1.63,3.05,4.08,1,21,15,0
71008,297,296,33,1.99,1.53,3.89,1,36,35,1
71552,25,60,33,1.8,1.43,2.7,0,46,5,1
71785,111,259,33,1.43,4.42,2.76,1,35,39,1
72126,491,173,33,3.53,4.97,4.98,0,27,51,1
72312,179,43,33,1.86,1.21,3.85,1,48,98,1
70094,287,250,34,3.35,1.55,2.3,1,7,81,1
70500,82,36,34,4.97,2.77,3.91,1,7,73,1
70946,179,104,34,3.74,2.48,1.39,1,28,99,1
74785,345,33,34,4.09,3.99,4.32,1,33,26,0
74907,355,244,34,2.03,4.26,1.07,0,23,85,0
71244,461,201,34,1.6,2.2,4.94,1,4,42,1
72191,182,164,34,2,4.35,1.44,0,25,90,1
72217,151,266,34,3.26,3.86,1.95,1,45,96,1
72219,241,134,34,4.06,2.87,3.27,0,50,11,1
73540,301,161,34,4.27,4.28,1.71,0,29,7,1
73648,408,228,34,3.3,1.25,3.98,0,10,15,1
74368,250,277,34,3.58,4.08,2.15,0,10,85,1
74754,162,158,34,3.32,3.09,4.87,0,20,31,1
71330,290,165,35,4.1,4.57,1.94,1,48,78,0
74584,18,165,35,3.56,2.91,2.53,0,22,64,0
70586,56,86,35,4.41,4.59,4.17,0,41,2,1
71988,99,214,35,1.6,4.7,2.56,0,18,80,1
73291,331,233,35,3.65,1.58,3.76,1,47,29,1
73584,357,149,35,3.45,3.56,1.34,0,40,42,1
74181,313,68,35,3.7,2.58,4.01,0,40,50,1
74270,15,286,35,3.6,1.09,1.77,0,4,88,1
74585,191,140,35,3.17,4.23,2.1,1,14,58,1
74833,114,93,35,1.42,3.82,4.81,0,18,31,1
72029,375,204,36,1.07,2.15,2.12,1,36,81,0
72236,227,24,36,3.33,1.73,4.52,1,36,76,0
73465,471,43,36,4.59,1.24,2.85,0,32,33,0
73549,54,144,36,1.35,3.52,2.2,0,32,7,0
73904,462,275,36,3.1,3.75,4.77,0,20,97,0
74455,486,267,36,2.23,1.55,2.72,1,41,71,0
74668,275,76,36,4.03,1.32,1.01,1,8,42,0
74708,61,265,36,1.86,4.23,3.32,1,49,58,0
74051,89,62,36,4.48,2.13,3.68,0,37,38,1
74156,16,150,36,2.51,4.43,1.99,0,31,91,1
71602,97,114,37,2.97,1.69,4.59,1,22,65,0
72783,441,230,37,2.33,3.8,4.97,0,10,10,0
73158,214,187,37,2.17,3.53,2.94,1,9,81,0
73947,63,250,37,4.3,2.29,4.02,1,49,63,0
74571,343,15,37,1.09,1.09,1.87,0,30,80,0
71146,79,5,37,4.02,2.28,1.27,0,27,13,1
71993,245,81,37,4.99,2.14,3.12,1,1,31,1
73579,378,290,37,3.74,4.51,2.61,1,27,11,1
74039,101,219,37,1.45,4.52,2.38,1,14,5,1
74309,484,20,37,1.98,1.46,3.69,0,41,27,1
74747,14,6,37,2.78,1.99,2.63,1,30,43,1
71342,139,70,38,4.63,1.05,1.28,0,17,53,0
73113,83,25,38,1.4,3.02,3.7,0,11,22,0
74890,458,169,38,2.6,1.48,1.17,1,13,77,0
70247,120,27,38,2.31,1.54,3.62,1,15,2,1
70323,437,279,38,3.71,4.31,3.43,0,4,7,1
72714,440,19,38,3.74,4.52,1.55,1,24,36,1
73309,419,205,38,4.16,1.57,1.48,0,32,61,1
70289,214,89,39,4.06,2.41,1.2,0,32,80,1
71468,271,294,39,3.16,1.06,4.72,1,36,3,0
71695,169,280,39,1.75,3.3,4.77,1,1,19,0
72819,413,202,39,2.41,1.01,3.43,1,23,66,0
72838,100,97,39,4.77,1.22,2.52,1,19,18,0
73906,78,197,39,4.59,4.23,3.99,1,2,99,0
73911,112,256,39,4.34,4.76,3.84,0,22,5,0
74872,186,36,39,1.82,3.35,3.54,0,24,15,0
70004,272,114,39,2.52,2.57,2.27,0,47,13,1
70381,115,167,39,4.01,3.15,4.62,0,42,38,1
72256,461,7,39,4.41,1.02,3.41,1,36,29,1
72716,463,96,39,3.85,2.09,4.85,0,21,43,1
71368,49,30,40,2.97,1.11,2.86,0,1,61,0
71707,28,181,40,1.79,2.23,1.81,0,44,66,0
72928,485,205,40,1.03,1.02,2.81,1,50,56,0
73633,243,283,40,3.76,4.87,3.27,1,45,74,0
74292,500,244,40,2.83,3.41,4.98,0,13,11,0
74435,15,91,40,4.23,4.89,3.84,1,46,44,0
74450,268,226,40,2.52,4.79,3.58,0,38,66,0
70770,113,5,40,2.96,4.88,2.38,0,3,85,1
71983,462,295,40,1.1,2.95,3.03,1,19,99,1
72066,163,64,40,3.57,3.39,2.16,1,40,10,1
72614,289,219,40,1.89,2.1,3.6,0,9,42,1
73424,406,294,40,1.5,2.65,1.67,0,14,84,1
74505,410,206,40,3.92,2.44,1.51,1,28,40,1
70596,242,182,41,3.22,4.64,1.33,1,48,63,1
70645,149,167,41,1.99,3.77,1.49,0,14,53,1
71593,168,51,41,4.36,3.44,1.99,0,1,24,0
71619,497,292,41,3.42,4.48,3.41,0,14,100,0
72323,413,97,41,3.09,3.18,2.4,1,7,68,0
72537,388,282,41,3.7,3.84,2.32,1,17,66,0
72840,293,221,41,3.58,2.42,3.12,1,39,54,0
73021,448,129,41,1.22,3.07,1.7,1,24,69,0
73325,10,50,41,4.13,2.51,3.14,1,3,20,0
73378,466,62,41,1.74,2.09,3.72,1,43,36,0
73585,449,136,41,1.28,2.45,2.74,0,3,43,0
74469,78,171,41,4.02,2.02,2.75,0,40,6,0
74832,497,8,41,3.26,3.35,2.65,1,12,75,0
70122,47,157,41,1.27,3.32,3.71,1,26,40,1
71613,10,37,41,1.64,1.73,1.94,0,19,12,1
72858,46,182,41,4.67,3.84,3.01,0,4,81,1
73065,101,88,41,2.04,4.96,1.6,0,22,22,1
70103,301,9,42,2.73,1.76,3.35,0,14,36,1
70890,159,143,42,1.7,1.14,1.58,0,41,16,1
72276,133,181,42,3.98,2.17,2.92,0,0,14,0
72863,118,39,42,3.39,2.87,4.96,1,38,33,0
72905,275,84,42,2.81,3.03,3.57,0,20,55,0
73870,498,166,42,2.39,1.19,4.15,0,18,18,0
74149,145,214,42,3.42,3.57,2.7,1,12,68,0
72377,419,39,42,4.07,4.67,4,0,25,28,1
73135,64,14,42,1.84,4.4,2.56,0,6,57,1
70386,378,211,43,4.03,2.46,1.03,0,23,42,1
70482,433,16,43,1.85,1.38,2.96,1,34,27,1
71603,333,151,43,4.26,3.96,1.52,0,29,33,1
71887,230,201,43,4.35,1.11,1.06,1,10,26,1
72486,124,32,43,1.68,3.54,1.92,0,5,73,1
73376,402,47,43,4.19,2.46,4.47,0,37,80,1
74716,317,161,43,2.22,2.72,4.86,0,16,88,1
70937,445,126,44,2.65,3.25,4.93,1,42,58,1
71288,331,8,44,1.17,2.62,4,0,10,88,0
72039,236,181,44,3,3.48,4.6,1,43,34,0
70050,237,109,44,3.78,3.75,4.64,1,31,26,1
70880,429,250,44,3.78,1.3,3.02,1,19,81,1
74437,178,169,44,4.92,4.15,1.21,0,36,37,1
72158,121,111,45,2.97,4.23,4.56,0,19,5,0
72889,88,61,45,4.7,4.28,3.12,0,37,76,0
73311,369,259,45,3.71,4.8,3.15,1,12,20,0
74612,282,133,45,2.77,4.8,3.14,0,50,34,0
74966,370,79,45,2.72,1.41,1.26,1,0,27,0
70022,13,229,45,3.17,3.49,2.95,1,8,80,1
70212,55,231,45,4.06,2.92,1.99,0,21,70,1
70680,433,223,45,1.22,1.43,4.87,0,13,8,1
71463,420,119,45,2.36,3.8,4.42,0,6,91,1
72657,308,102,45,4.79,3.74,1.64,0,17,94,1
72875,223,178,45,2.47,4.63,1.97,1,43,97,1
73214,36,24,45,4.14,1.57,1.92,0,30,93,1
73804,274,235,45,4.62,2.85,4.33,1,25,96,1
74801,126,102,45,3.93,4.83,1.92,1,23,18,1
70063,322,213,46,2.7,3.08,4.22,0,6,38,1
70597,41,291,46,4.34,2,3.95,1,45,30,1
71234,416,285,46,3.75,1.43,4.89,0,19,88,0
72315,231,291,46,3.55,4.44,1.04,1,28,43,0
72851,379,75,46,2.77,4.41,1.9,0,50,50,0
70790,230,239,46,4.04,4.17,3.63,0,1,12,1
70948,335,150,46,1.07,2.07,1.79,0,15,36,1
72493,439,236,46,3.9,4.38,2.32,1,1,56,1
73410,437,115,46,2.27,2.66,2.47,0,19,81,1
74038,331,273,46,2.21,2.85,1.54,0,41,15,1
74228,354,114,46,4.47,4.93,2.84,0,48,17,1
74490,259,120,46,2.87,3.77,3.69,0,30,1,1
74558,104,38,46,4.94,3.74,3.39,1,12,82,1
74575,323,219,46,3.67,3.71,2.09,0,32,1,1
74741,495,229,46,2.31,4.79,3.06,0,5,61,1
74968,218,244,46,3.73,1.66,1.89,0,1,25,1
70624,370,114,47,4.93,2.16,3.37,0,45,78,1
72283,185,219,47,1.69,2.44,2.91,1,7,10,0
72732,244,132,47,4.46,4.27,4.3,0,4,58,0
73500,257,259,47,2.78,3.67,3.22,1,21,41,0
73809,301,8,47,3.13,1.99,1.69,1,17,52,0
73844,15,90,47,4.53,3.21,3.62,0,27,48,0
71306,463,202,47,3.85,3.43,4.89,0,31,6,1
73085,209,34,47,3.43,4.47,2.65,0,20,95,1
73560,12,148,47,4.84,4.83,1.97,0,26,59,1
73656,433,147,47,2.81,2.43,4.31,0,28,69,1
73673,443,133,47,1.53,4.7,3.24,1,11,45,1
73812,247,117,47,2.91,1.15,1.67,1,32,87,1
74191,84,281,47,4.07,1.03,4.27,1,5,61,1
74343,182,215,47,1.33,1.8,4.94,1,1,12,1
70121,484,230,48,1.16,2.87,3.85,1,18,12,1
70167,423,157,48,2.4,2.26,1.56,1,15,6,1
70198,256,250,48,2.41,3.4,2.15,0,28,21,1
71102,269,71,48,3.47,4.77,4.84,0,14,83,0
71470,443,149,48,1.56,1.43,4.4,0,34,51,0
71761,484,240,48,2.28,3.07,2.83,1,6,67,0
72121,84,156,48,1.65,3,2.59,1,15,95,0
73795,319,246,48,3.99,2.34,3.69,1,11,59,0
74689,491,40,48,2.06,3.06,2.07,0,47,53,0
70320,168,93,48,4.79,2.75,2.92,1,38,45,1
70591,460,262,48,3.25,4.4,4.08,0,29,71,1
71434,361,168,48,1.16,4.49,2.92,1,39,1,1
71854,249,250,48,2.45,2.31,3.65,0,39,23,1
73959,299,267,48,2.9,2.14,1.7,1,32,45,1
70753,394,55,49,2.34,2.56,4.97,1,45,97,1
71710,164,291,49,1.92,4.62,4.84,0,7,90,0
71759,274,97,49,2.53,3.95,2,0,20,91,0
72258,440,99,49,3.95,3.92,4.74,0,36,15,0
71976,51,94,49,1.56,3.71,2.8,1,26,2,1
72182,22,230,49,4.88,4.69,3.23,1,21,26,1
73076,305,139,49,4.6,4.12,2.29,0,1,38,1
73292,450,116,49,3.04,1.32,1.89,0,28,60,1
73721,462,267,49,1.31,3.6,4.39,1,11,82,1
74018,498,197,49,2.31,2.05,1.96,0,30,89,1
74174,68,187,49,4.1,4.68,2.51,1,15,28,1
70962,52,8,50,3.09,4.24,3.09,0,23,0,1
71083,378,97,50,2.84,3.11,3.49,0,27,57,0
71682,458,33,50,2.86,1.21,1.51,0,11,8,0
71982,51,159,50,3.15,2.26,4.7,0,22,85,0
73153,80,229,50,1.21,2.36,4.74,0,34,27,0
74031,490,262,50,2.74,4.46,1.05,1,17,88,0
74317,345,182,50,4.53,2.94,3.91,1,6,30,0
70693,365,34,50,4.55,3.66,2.99,1,21,5,1
72485,33,157,50,2.3,4.35,4.72,1,13,64,1
74069,366,59,50,4.87,3.53,1.92,0,42,97,1
74554,27,142,50,1.76,1.41,4.25,1,8,96,1
74719,430,157,50,1.61,4.7,1.55,0,4,35,1
74851,251,183,50,4.65,1.28,2.96,0,48,3,1
70110,494,292,51,4.13,4.66,4.74,1,36,49,1
70124,259,39,51,4.62,2.44,1.17,1,13,86,1
70543,294,112,51,1.76,2.05,3.02,0,45,5,1
72592,181,298,51,1.66,2.16,1.86,1,37,22,1
73035,430,164,51,3.65,4.82,3.02,0,7,49,1
71661,378,45,52,2.27,4.05,3.56,1,33,63,0
73279,375,272,52,4.58,2.03,1.71,0,17,44,0
73361,402,40,52,1.8,3.12,1.67,0,3,96,0
74831,114,115,52,1.43,1.84,2.08,0,16,46,0
70054,171,106,52,2.2,2.9,4.56,0,14,16,1
70704,61,175,52,1.41,2.52,2.8,1,33,84,1
71720,314,146,52,3.85,1.92,2.3,1,1,4,1
71886,412,253,52,2.03,1.13,3,1,40,100,1
73231,168,196,52,3.75,2.99,1.25,1,18,81,1
73508,156,14,52,3.24,3.41,3.43,0,37,5,1
74297,225,295,52,4,3,3,1,5,97,1
74327,217,151,52,3.07,2.44,4.43,1,33,21,1
70085,356,18,53,4.41,3.25,1.41,1,38,54,1
71080,153,10,53,3.48,1.6,3.1,0,29,59,0
71224,397,53,53,2.87,4.99,3.31,1,29,66,0
71279,395,151,53,3.69,2.92,4.92,1,34,14,0
72438,171,145,53,1.18,2.94,3.96,0,24,30,0
73823,407,290,53,4.83,1.44,3.43,1,25,90,0
70727,346,8,53,4.44,4.63,3.17,0,10,8,1
71094,140,281,53,2.64,3.15,4.57,0,49,70,1
71299,424,70,53,2.59,3.02,2.73,0,19,59,1
71324,131,31,53,1.21,2.17,4.46,1,25,91,1
72060,15,24,53,4.63,4.12,1.59,0,10,99,1
73097,45,235,53,2.77,4.41,1.86,1,14,51,1
73962,439,134,53,2.43,2.54,1.76,0,4,81,1
73976,395,248,53,1.18,3.29,3.71,1,45,60,1
70767,176,155,54,1.46,3.61,2.94,1,12,80,1
71980,172,23,54,1.45,3.66,3.37,0,24,4,0
72954,42,114,54,3.98,2.79,2.55,0,39,39,0
73120,479,235,54,1.28,2.02,2.01,0,19,13,0
70183,53,56,54,2.41,2.62,4.79,1,5,16,1
70619,496,62,54,2.72,1.63,4.34,1,41,97,1
71414,224,211,54,2.97,4.97,2.81,0,17,26,1
71479,238,76,54,1.07,4.12,1.58,1,30,71,1
71920,331,66,54,3.95,1.99,3.46,0,10,52,1
72147,212,175,54,3.3,2.58,1.33,1,49,30,1
74173,477,42,54,2.21,4.23,4.07,0,34,36,1
74829,422,204,54,2.09,2.77,1.31,1,20,88,1
70799,376,248,55,1.13,4.06,1.2,0,27,28,1
71358,338,184,55,1.56,4.04,4.05,0,9,44,0
71688,263,94,55,3.27,1.5,1.64,1,16,78,0
71721,44,167,55,1.99,3.69,4.59,1,23,87,0
73298,437,22,55,4.5,4.6,3.81,1,33,52,0
73515,462,139,55,2.96,4.41,4.98,0,47,58,0
73625,286,185,55,4.86,4.6,2.46,1,1,23,0
74672,353,195,55,1.36,1.37,3.04,0,43,80,0
74710,139,208,55,4.53,2.86,2.49,1,32,47,0
71035,220,238,55,2.24,2.18,1.18,0,7,62,1
71634,40,106,55,4.33,3.1,1.69,1,48,68,1
72004,281,212,55,1.95,4.96,3.37,0,41,0,1
72396,43,286,55,1.78,1.57,1.9,0,33,8,1
72897,214,200,55,2.37,4.19,1.08,0,41,59,1
73987,458,121,55,4.39,2.25,3.86,0,44,89,1
74075,337,135,55,3.76,1.28,2.34,1,31,18,1
74453,24,41,55,2.96,4.7,2.51,1,31,85,1
71763,29,262,56,4.93,4.65,3.18,0,29,31,0
73007,401,198,56,1.94,1.42,2.41,0,19,47,0
